name,state,type,inbound_links,outbound_links,source_address.type,source_address.ref_custom_address_group,destination_address.type,protocol,snat_process.policy,snat_process.source_port,snat_process.translated_address.type,snat_process.translated_address.address,position,source_address.address,snat_process.translated_address.ref_custom_address_group,description,destination_address.address,source_port,destination_port
浙期协会-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-浙期协会,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.216,29,,,,,,
浙期协会-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-浙期协会,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.45,30,,,,,,
河南协会-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-河南协会,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,CUSTOM-ADDRESS-GROUP,,31,,39.165.248.46-河南协会,,,,
长安期货-源转换-联通IPV4,ENABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-长安期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,CUSTOM-ADDRESS-GROUP,,32,,218.28.38.74-长安期货,,,,
浙商期货-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-浙商期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.217,33,,,,,,
浙商期货-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-浙商期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.40,34,,,,,,
新世纪期货-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-新世纪期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.214,35,,,,,,
新世纪期货-源转换-联通IPV4,ENABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-新世纪期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.38.75,36,,,,,,
中泰期货-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-中泰期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,CUSTOM-ADDRESS-GROUP,,37,,1.192.170.209-中泰期货,,,,
信达期货-源转换-移动IPV4,DISABLE,IPV4,['inside-net9'],['CM-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,所有信达期货-EIP,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,117.160.199.225,38,,,信达期货-源转换-移动IPV4,,,
测试-联通地址转换,DISABLE,IPV4,['inside-net9'],['CU-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,联通线路EIP,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.144.148,39,,,信达期货-源转换-移动IPV4,,,
智能客服测试访问IAM,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,智能客服上网ip,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,40,,,双向NAT,172.27.250.131,ALL,18001-18002
风险管理-访问企微测试,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,风险管理EIP,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,41,,,双向NAT,172.27.136.249,ALL,443
业务协同-访问企微测试,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,业务流程协同EIP,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,42,,,双向NAT,172.27.136.249,ALL,443
集团化应用-访问企微测试,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,集团化应用测试环境EIP,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,43,,,双向NAT,172.27.136.249,ALL,443
企微测试访问业务流程协同,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,企微测试EIP,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,44,,,双向NAT,172.27.250.131,ALL,28004
业务协同-访问企微生产,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,业务流程协同EIP,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,45,,,双向NAT,172.27.132.200,ALL,8443
